Tract,GEOID,Obesity rate,Highlight
Tract 470,36081047000,22.2,Other Queens tracts
Tract 79,36081007900,22.2,Other Queens tracts
Tract 91,36081009100,22.2,Other Queens tracts
Tract 236,36081023600,22.2,Other Queens tracts
Tract 973,36081097300,22.2,Other Queens tracts
Tract 663.01,36081066301,22.1,Other Queens tracts
Tract 247,36081024700,22.1,Other Queens tracts
Tract 65.02,36081006502,22.1,Other Queens tracts
Tract 101,36081010100,22.1,Other Queens tracts
Tract 119,36081011900,22.0,Other Queens tracts
Tract 245,36081024500,22.0,Other Queens tracts
Tract 185.01,36081018501,22.0,Other Queens tracts
Tract 155,36081015500,22.0,Other Queens tracts
Tract 855,36081085500,22.0,Other Queens tracts
Tract 36,36081003600,22.0,Other Queens tracts
Tract 121,36081012100,22.0,Other Queens tracts
Tract 1163.02,36081116302,21.9,Other Queens tracts
Tract 59,36081005900,21.9,Other Queens tracts
Tract 554,36081055400,21.9,Other Queens tracts
Tract 269.02,36081026902,21.9,Other Queens tracts
Tract 255,36081025500,21.8,Other Queens tracts
Tract 187,36081018700,21.8,Other Queens tracts
Tract 892.01,36081089201,21.8,Other Queens tracts
Tract 987,36081098700,21.8,Other Queens tracts
Tract 118,36081011800,21.8,Other Queens tracts
Tract 189,36081018900,21.7,Other Queens tracts
Tract 849.02,36081084902,21.7,Other Queens tracts
Tract 220.02,36081022002,21.7,Other Queens tracts
Tract 137,36081013700,21.7,Other Queens tracts
Tract 779.07,36081077907,21.7,Other Queens tracts
Tract 52,36081005200,21.7,Other Queens tracts
Tract 677,36081067700,21.7,Other Queens tracts
Tract 140,36081014000,21.7,Other Queens tracts
Tract 271.01,36081027101,21.7,Other Queens tracts
Tract 779.02,36081077902,21.6,Other Queens tracts
Tract 69,36081006900,21.6,Other Queens tracts
Tract 75,36081007500,21.6,Other Queens tracts
Tract 73,36081007300,21.6,Other Queens tracts
Tract 157,36081015700,21.6,Other Queens tracts
Tract 181.02,36081018102,21.6,Other Queens tracts
Tract 1551.03,36081155103,21.6,Other Queens tracts
Tract 169,36081016900,21.6,Other Queens tracts
Tract 135,36081013500,21.5,Other Queens tracts
Tract 468,36081046800,21.5,Other Queens tracts
Tract 1033,36081103300,21.5,Other Queens tracts
Tract 478.02,36081047802,21.5,Other Queens tracts
Tract 929,36081092900,21.5,Other Queens tracts
Tract 179.01,36081017901,21.4,Other Queens tracts
Tract 1257,36081125700,21.4,Other Queens tracts
Tract 1039,36081103900,21.4,Other Queens tracts
Tract 717.01,36081071701,21.4,Other Queens tracts
Tract 257,36081025700,21.4,Other Queens tracts
Tract 1185,36081118500,21.4,Other Queens tracts
Tract 713.05,36081071305,21.4,Other Queens tracts
Tract 497,36081049700,21.4,Other Queens tracts
Tract 507,36081050700,21.4,Other Queens tracts
Tract 779.05,36081077905,21.3,Other Queens tracts
Tract 469.01,36081046901,21.3,Other Queens tracts
Tract 713.06,36081071306,21.3,Other Queens tracts
Tract 295,36081029500,21.2,Other Queens tracts
Tract 743,36081074300,21.2,Other Queens tracts
Tract 1139,36081113900,21.2,Other Queens tracts
Tract 232,36081023200,21.2,Other Queens tracts
Tract 548,36081054800,21.2,Other Queens tracts
Tract 916.03,36081091603,21.2,Other Queens tracts
Tract 928,36081092800,21.2,Other Queens tracts
Tract 117,36081011700,21.2,Other Queens tracts
Tract 125,36081012500,21.2,Other Queens tracts
Tract 448,36081044800,21.2,Other Queens tracts
Tract 251,36081025100,21.1,Other Queens tracts
Tract 991,36081099100,21.1,Other Queens tracts
Tract 42,36081004200,21.0,Other Queens tracts
Tract 773,36081077300,21.0,Other Queens tracts
Tract 81,36081008100,21.0,Other Queens tracts
Tract 1155,36081115500,21.0,Other Queens tracts
Tract 697.01,36081069701,21.0,Other Queens tracts
Tract 297,36081029700,21.0,Other Queens tracts
Tract 309.06,36081030906,20.9,Other Queens tracts
Tract 97,36081009700,20.9,Other Queens tracts
Tract 45,36081004500,20.9,Other Queens tracts
Tract 809,36081080900,20.8,Other Queens tracts
Tract 55,36081005500,20.8,Other Queens tracts
Tract 779.03,36081077903,20.8,Other Queens tracts
Tract 713.03,36081071303,20.7,Other Queens tracts
Tract 799,36081079900,20.7,Other Queens tracts
Tract 1163.01,36081116301,20.7,Other Queens tracts
Tract 845,36081084500,20.7,Other Queens tracts
Tract 687,36081068700,20.7,Other Queens tracts
Tract 7.02,36081000702,20.6,Other Queens tracts
Tract 713.04,36081071304,20.6,Other Queens tracts
Tract 120,36081012000,20.5,Other Queens tracts
Tract 1301,36081130100,20.5,Other Queens tracts
